id,name,originalName,type,uuid,parentName,depth,positionX,positionY,positionZ,rotationX,rotationY,rotationZ,scaleX,scaleY,scaleZ,boundingBoxMinX,boundingBoxMinY,boundingBoxMinZ,boundingBoxMaxX,boundingBoxMaxY,boundingBoxMaxZ,boundingBoxSizeX,boundingBoxSizeY,boundingBoxSizeZ
93d51c70-267f-47d7-8d80-27c0b227f2ce,unnamed_mesh_001,,Group,93d51c70-267f-47d7-8d80-27c0b227f2ce,,0,0,0,0,0,0,0,1,1,1,-6.774654277201006,20.01750000000019,-12.118047898823082,-4.424654277200991,23.15400849718771,10.962420102518081,2.3500000000000147,3.1365084971875206,23.080468001341163
2be5fb6b-9f0b-4b8e-90f3-ec2da4abdf71,NAUO954,NAUO954,Mesh,2be5fb6b-9f0b-4b8e-90f3-ec2da4abdf71,NAUO444,3,-0.24559314669991308,3.605000000000001,1.9797332728852377,0,0,0,1,1,1,-6.599654277200988,20.14250000000019,7.2249521011853535,-6.389654277200988,20.35250000000019,10.724952101185353,0.20999999999999996,0.21000000000000085,3.5
4a1ab8ff-a728-4c24-bc66-93a5844bc543,NAUO955,NAUO955,Mesh,4a1ab8ff-a728-4c24-bc66-93a5844bc543,NAUO444,3,1.4844068533000865,3.455000000000002,1.9797332728852377,-1.6267271536734074e-16,5.55111512312578e-17,1.570796326794897,1,1,1,-4.8096542772009885,20.14250000000019,7.2249521011853535,-4.5996542772009885,20.35250000000019,10.724952101185353,0.20999999999999996,0.21000000000000085,3.5
001b0a66-ea1f-41d0-901c-109e2ad2365b,NAUO956,NAUO956,Mesh,001b0a66-ea1f-41d0-901c-109e2ad2365b,NAUO444,3,-0.0955931466999127,5.469999999999995,1.9797332728852377,0,3.466673899897025e-33,-1.5707963267948963,1,1,1,-6.599654277200988,22.067500000000187,7.2249521011853535,-6.389654277200988,22.277500000000185,10.724952101185353,0.20999999999999996,0.2099999999999973,3.5
757c70fe-7925-4419-bcd5-a839d425f5ca,NAUO957,NAUO957,Mesh,757c70fe-7925-4419-bcd5-a839d425f5ca,NAUO444,3,-0.24559314671673785,3.554999999999186,1.71973327288522,3.1415926535897927,2.09277040141842e-14,3.1415926535897927,1,1,1,-6.599654277217816,20.302499999999377,10.464952101185332,-6.539654277217812,22.112499999999375,10.584952101185335,0.06000000000000405,1.8099999999999987,0.12000000000000277
53aa0fd9-2b07-4a85-86e9-62bf102719b2,NAUO958,NAUO958,Mesh,53aa0fd9-2b07-4a85-86e9-62bf102719b2,NAUO444,3,1.6344068533000504,5.3675,1.7197332728852608,3.141592653589793,2.1871393585115584e-14,-1.5358147438064213e-16,1,1,1,-4.659654277201028,20.30500000000019,10.464952101185375,-4.599654277201024,22.11500000000019,10.584952101185378,0.06000000000000405,1.8099999999999987,0.12000000000000277
eca9a014-71cd-45a3-a2ad-15262bc6f390,NAUO959,NAUO959,Mesh,eca9a014-71cd-45a3-a2ad-15262bc6f390,NAUO444,3,1.5344068533000863,5.470000000000056,1.8397332728850504,-3.2029934260435766e-14,2.2028758946407148e-16,1.570796326794897,1,1,1,-6.4346542772009885,22.217500000000243,10.464952101185164,-4.759654277200989,22.277500000000245,10.584952101185168,1.6749999999999998,0.060000000000002274,0.12000000000000455
c529e655-b569-441f-940e-4e60109b74f7,NAUO960,NAUO960,Mesh,c529e655-b569-441f-940e-4e60109b74f7,NAUO444,3,-0.1405931466999162,3.4549999999998215,1.839733272885321,2.7366997557010102e-14,-2.271731972692526e-16,-1.5707963267948963,1,1,1,-6.434654277200991,20.142500000000013,10.464952101185435,-4.759654277200991,20.202500000000015,10.584952101185438,1.6749999999999998,0.060000000000002274,0.12000000000000277
fddc1ee8-ec4a-4669-a238-bbb0544c1bf3,NAUO961,NAUO961,Mesh,fddc1ee8-ec4a-4669-a238-bbb0544c1bf3,NAUO444,3,1.5344068533000863,5.469999999996644,-0.9602667271149533,-3.2029934260435766e-14,2.2028758946407148e-16,1.570796326794897,1,1,1,-6.4346542772009885,22.217499999996832,7.664952101185161,-4.759654277200989,22.277499999996834,7.784952101185165,1.6749999999999998,0.060000000000002274,0.12000000000000366
26369850-15f5-4629-88a5-d3bdbd98e5cb,NAUO962,NAUO962,Mesh,26369850-15f5-4629-88a5-d3bdbd98e5cb,NAUO444,3,-0.1405931466999162,3.455000000002713,-0.9602667271147212,2.7366997557010102e-14,-2.271731972692526e-16,-1.5707963267948963,1,1,1,-6.434654277200991,20.142500000002904,7.664952101185393,-4.759654277200991,20.202500000002907,7.784952101185397,1.6749999999999998,0.060000000000002274,0.12000000000000366
d0ea201e-aa09-4500-aa76-546b472f87cf,NAUO963,NAUO963,Mesh,d0ea201e-aa09-4500-aa76-546b472f87cf,NAUO444,3,-0.24559314671537008,3.554999999999158,-1.0802667271147808,3.1415926535897927,2.09277040141842e-14,3.1415926535897927,1,1,1,-6.599654277216448,20.30249999999935,7.664952101185332,-6.539654277216444,22.112499999999347,7.784952101185335,0.06000000000000405,1.8099999999999987,0.12000000000000366
622fc615-52ea-4df3-8426-ffa4c8810eb3,NAUO964,NAUO964,Mesh,622fc615-52ea-4df3-8426-ffa4c8810eb3,NAUO444,3,1.6344068533000504,5.367499999999996,-1.0802667271147381,3.141592653589793,2.1871393585115584e-14,-1.5358147438064213e-16,1,1,1,-4.659654277201028,20.305000000000188,7.664952101185376,-4.599654277201024,22.115000000000187,7.78495210118538,0.06000000000000405,1.8099999999999987,0.12000000000000366
e26ccf66-46b8-4df6-91a6-bbb913bc6f46,NAUO965,NAUO965,Mesh,e26ccf66-46b8-4df6-91a6-bbb913bc6f46,NAUO444,3,1.6344068533000877,5.319999999999997,1.9797332728852377,-8.176786389197572e-17,3.747002708109903e-16,-3.141592653589793,1,1,1,-4.8096542772009885,22.067500000000187,7.2249521011853535,-4.599654277200988,22.277500000000188,10.724952101185353,0.21000000000000085,0.21000000000000085,3.5
